Time	EMG	Muscle Force
0.225	-0.0235443	0.248747
0.226	-0.0117624	0.249117
0.227	-0.0681467	0.248747
0.228	0.069476	0.248747
0.229	0.0550558	0.248747
0.23	-0.0118267	0.249488
0.231	-0.00561849	0.248747
0.232	0.0695563	0.249117
0.233	0.114036	0.248747
0.234	0.0793636	0.248377
0.235	-0.170316	0.248377
0.236	-0.255335	0.248377
0.237	-0.147729	0.248747
0.238	0.125365	0.248747
0.239	0.187924	0.248377
0.24	0.163165	0.248747
0.241	0.132057	0.248747
0.242	-0.054152	0.249117
0.243	-0.188222	0.248747
0.244	-0.148707	0.248747
0.245	-0.0265837	0.249117
0.246	0.0587561	0.248747
0.247	0.0378899	0.248377
0.248	-0.0269329	0.248747
0.249	0.0229104	0.248747
0.25	0.09955	0.249117
0.251	0.0887784	0.248747
0.252	0.0505862	0.248747
0.253	-0.0362317	0.248747
0.254	-0.196399	0.248747
0.255	-0.176624	0.249117
0.256	0.0198214	0.248377
0.257	0.110255	0.248747
0.258	0.120585	0.249117
0.259	0.127147	0.248747
0.26	-0.0367376	0.248747
0.261	-0.109058	0.248377
0.262	-0.0523371	0.248747
0.263	0.00768446	0.249117
0.264	0.0293352	0.248747
0.265	0.0283728	0.248747
0.266	-0.00371656	0.248377
0.267	-0.0876336	0.248377
0.268	-0.0205503	0.248747
0.269	0.0317357	0.248377
0.27	0.0516644	0.248377
0.271	0.0758924	0.248377
0.272	0.0492859	0.248747
0.273	-0.0531498	0.248747
0.274	-0.0750509	0.248747
0.275	-0.00532061	0.249117
0.276	-0.0305122	0.249117
0.277	-0.0728296	0.249117
0.278	-0.0203077	0.248747
0.279	0.110911	0.248377
0.28	0.106288	0.248377
0.281	0.0307971	0.248747
0.282	-0.022819	0.248377
0.283	-0.0845453	0.248377
0.284	-0.00248617	0.248377
0.285	0.0117623	0.248377
0.286	-0.0709521	0.248377
0.287	-0.0413535	0.249117
0.288	0.0225276	0.248377
0.289	0.0542543	0.248377
0.29	0.0498675	0.248377
0.291	0.0158031	0.248747
0.292	-0.0574761	0.248747
0.293	-0.039359	0.248747
0.294	0.142941	0.248747
0.295	0.10293	0.248747
0.296	-0.118904	0.248747
0.297	-0.210428	0.249117
0.298	-0.0625088	0.249117
0.299	0.0481909	0.248747
0.3	0.125649	0.248747
0.301	0.108522	0.249117
0.302	0.0262899	0.248747
0.303	-0.0933316	0.248007
0.304	-0.101827	0.248747
0.305	0.0418193	0.248377
0.306	0.104741	0.248747
0.307	0.0661871	0.248747
0.308	0.00602159	0.249117
0.309	-0.115106	0.248747
0.31	-0.165648	0.248377
0.311	-0.0732797	0.248747
0.312	0.0149414	0.248747
0.313	0.0926976	0.248747
0.314	0.180018	0.248377
0.315	0.171672	0.248747
0.316	0.0231119	0.248747
0.317	-0.162486	0.248377
0.318	-0.108042	0.248747
0.319	-0.00899385	0.248377
0.32	-0.0433181	0.248377
0.321	-0.170088	0.248377
0.322	-0.11118	0.248377
0.323	0.225033	0.248377
0.324	0.282259	0.248747
0.325	0.100885	0.248747
0.326	-0.067588	0.248377
0.327	-0.0749087	0.248747
0.328	-0.101374	0.248747
0.329	-0.133494	0.248377
0.33	-0.0579149	0.248747
0.331	0.0328305	0.248747
0.332	0.0846829	0.248747
0.333	0.0710066	0.248377
0.334	0.00850013	0.248747
0.335	0.0390439	0.248747
0.336	0.0735222	0.248377
0.337	-0.00860802	0.248747
0.338	-0.0851321	0.248377
0.339	-0.157283	0.248747
0.34	-0.0501935	0.248747
0.341	0.0607173	0.248747
0.342	0.0665212	0.248747
0.343	0.0531434	0.248377
0.344	0.0807168	0.248377
0.345	0.0539372	0.248377
0.346	-0.0865508	0.248747
0.347	-0.112909	0.248747
0.348	-0.0519446	0.248747
0.349	0.03558	0.248377
0.35	0.0154695	0.249117
0.351	-0.00780569	0.248007
0.352	0.0465119	0.248377
0.353	0.105614	0.249117
0.354	0.0436291	0.248747
0.355	-0.0829596	0.248747
0.356	-0.140118	0.248377
0.357	-0.0607274	0.248747
0.358	0.0803783	0.248747
0.359	0.0584087	0.248377
0.36	-0.0128371	0.248007
0.361	0.0432975	0.249117
0.362	0.100976	0.248377
0.363	-0.0214691	0.248747
0.364	-0.0997561	0.248377
0.365	-0.110966	0.248377
0.366	-0.027645	0.248747
0.367	0.0875134	0.248377
0.368	0.0821353	0.248747
0.369	-0.0286042	0.248377
0.37	-0.0155454	0.248747
0.371	0.0780588	0.248377
0.372	0.0910674	0.248377
0.373	-0.0772061	0.248747
0.374	-0.20127	0.248377
0.375	-0.118183	0.248747
0.376	0.104445	0.249117
0.377	0.227638	0.248377
0.378	0.0937537	0.249117
0.379	-0.037803	0.248377
0.38	-0.16188	0.248747
0.381	-0.150841	0.248747
0.382	0.0163639	0.248747
0.383	0.0855321	0.248747
0.384	0.093457	0.248377
0.385	0.0597975	0.248747
0.386	0.0448045	0.248007
0.387	-0.092939	0.248747
0.388	-0.0747663	0.248747
0.389	-0.0295846	0.248377
0.39	-0.0688639	0.248377
0.391	0.0832727	0.248377
0.392	0.0725469	0.248747
